label,Question 
invalid,If 2 people are sitting around a round table, and each has to place coins on the table after other does, and the one who places the coin last wins, would you like to go first or second?
invalid,Call and Put option
invalid,Payoff Diagram of options
invalid,Financial account \xc3\xa2\xe2\x82\xac\xe2\x80\x9c LIFO FIFO
invalid,which is best under inflationary environment
invalid,What is India\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s GDP
invalid,What is the world\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s GDP growth rate?
invalid,What happens to net income after one year?
invalid,Candidates were asked to answer the same question one after the other within a given time limit. Questions:
valid,Something that is not on your CV \xc3\xa2\xe2\x82\xac\xe2\x80\x9c 1 min
invalid,Biggest failure and learning from it \xc3\xa2\xe2\x82\xac\xe2\x80\x9c 30 secs
invalid,Talk abot any topic/subject/hobby/interest area \xc3\xa2\xe2\x82\xac\xe2\x80\x9c 2 mins
valid,About the profiles
valid,Justification for the interest in the profile
invalid,Basic knowledge of Insurance sector
valid,About myself
invalid,Situational questions
invalid,Ex: How do u convince your CEO regarding the objectives set for the next Financial Year
invalid,I was asked about valuation ratios difference between various ratios. Then he went on to ask about Accounting concepts. This was a stress interview. And they were expecting quick answers with very clear concepts
invalid,PSU banks have lower profits as compared to private banks give 3 most important reasons according to you which might be the reason (this was a hypothetical case scenario)
valid,Tell something about ur self which is not written in the CV
invalid,Tell about a passion (they were expecting an answer which contains a smooth flow of information and you should be aware of the statistics in that particular field)
invalid,They asked me some Finance questions on Derivatives, NPV, IRR and on valuation. They asked me about valuing and comparing companies and some questions on trading
invalid,They asked me HR questions like whether I am social or not. They asked me examples where I have shown my Innovations skills and where I have handled the pressure
invalid,How will you calculate premium for that shop?
invalid,How do you calculate brand value or good will?
invalid,What is loan syndication?
invalid,Value a sweet shop called \xc3\xa2\xe2\x82\xac\xc5\x93Punjabi Halwai\xc3\xa2\xe2\x82\xac\xc2\x9d in Mumbai?
valid,What is your favourite finance subject?
invalid,They asked me some questions on my CV like Why less marks in academics
invalid,Also, about my summers project- what did I do, what was the project and how did I went about doing it
invalid,Project finance questions based on lenders perspective, borrowers perspective, loan syndication
invalid,How to decide on limit of debt etc
invalid,Comercial bank management questions. Gross NPA, Net NPA, Provisions, NIM, Other performnace measures of banks etc
valid,Questions based on whatever Finance points you have mentioned on your CV
invalid,They asked some sector specific knowledge related to summer internship and workexperience
invalid,The interviewers asked me why did I chose to specialise in Finance
valid,They asked me the relevance of your previous work ex with the profiles applied for
invalid,Mostly other questions were CV based
valid,How would your friends describe you?
valid,Are you a low/medium or high risk taker? Substantiate your stand
invalid,Are you are loner?
invalid,Are you an imaginative person?
valid,What are your strengths and weaknesses?
valid,What is your family background and what have you learned from it?
valid,What profile are you looking for?
valid,Why are you fit for investment banking and not corporate finance?
invalid,Why do I want to get into ICIC and what do I know about it-
invalid,Why ICICI?
valid,What do you know about the company?
valid,What interesting projects are there on your CV? Explain one of them?
invalid,Discussed in and out on valuation specific questions related to a project like what projections for Sales, growth Rate, S&A, how to calculate cost of capital?
invalid,What approach did you take?
invalid,What lines of businesses did you value and how?
invalid,What are other competitors doing and how are they growing?
invalid,If you are the CEO of the same company what measures will you take to make the company grow to the next level?
invalid,What is the difference between bank and private investor?
valid,Narrate an incidence when you faced difficult challenge in terms of limited resources while leading a team. How did you encounter it?
valid,Describe a situation where you showed leadership skills?
valid,Describe a situation where you came up with an innovative / non traditional idea which others followed it. Also discuss the implications of the idea. And the challenges you faced to implement the idea
invalid,Then they asked why I wanted to join CITI and how interested was I on the role
invalid,Why citi ? (asked Twice)
valid,Why this profile ?
valid,Will you be interested in the job of collections? And why ?
valid,Which kind of organization will you want to work for ?
invalid,They asked me domain specific questions on Retail banking
valid,Describe collections in retail banking
invalid,Revenue model of my Summers Company
valid,About Euro crises
invalid,Somethings on my CV were asked
valid,Run me through your CV
valid,Describe the projects you did in your summer internship
valid,What is the revenue model of your company ( Summers)
invalid,Why Citi?
invalid,examples of leadership?
valid,Initiative at work?
valid,Biggest achievements?
invalid,Something on the current situation in the World
invalid,1 min to give recommendation on sub prime and Greece crisis
invalid,Something on the working of the bank-
invalid,-what are the cost and profit centers of a bank?
invalid,-what happens if a bank do not have profit centers like loan account? Will the bank run? how?
valid,Your CV looks all consulting, why citi?
invalid,What computer languages are you proficient in?
invalid,What tools and technologies have you previously worked on?
invalid,Do you have an idea of the technology related issues/ challenges faced by a large financial institution or a bank? There were some CV related questions-
valid,Questions related to academic achievements and scholarships won
invalid,In-depth questions related to work experience
valid,Challenges faced during code releases during my job
valid,Strengths and Weaknesses
valid,What is it like working in a team?
invalid,In case a team member hogs all the limelight, what would be your reaction?
invalid,Is it more important to be ethical or to be successful?
invalid,What has been one major disappointment in your professional life?
valid,Give one instance of how you bounced back from a failure?
invalid,What is the major thing that you have changed in yourself during the last 2 years of your MBA?
valid,Do you have an overview of the role we are offering at your campus?
invalid,Any locational constraints since the position will be based out of India and not Singapore?
valid,Are you comfortable with a purely technical role in the firm, or more with managing a technology implementation team? The HR generalist had given an idea of Citibank ITO\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s operations at the beginning of the interview
valid,They started off with Tell me something that is not on your CV
invalid,Why banking
valid,Where do you see yourself 5 years down the line
valid,Why do you want to go for corporate banking
invalid,Since I had mentioned that my father is a proprietary trader, we had a detailed discussion about his work and why I don\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t plan to join him
invalid,Some domain specific questions like-  What do you know about corporate banking?
invalid,earnings of a bank?
invalid,What does a company need from a bank?
invalid,Tell me some more points.If I give you Rs.100, where will you invest it and why?
invalid,What is the relationship between the price of gold and equity price?
invalid,Why does a company need a bank?Tell some more points
invalid,They asked some questions on tell me about yourself
invalid,Why finance ?
invalid,Why banking. What is the difference between the students we interviewed and you
invalid,Which job would you like ? ( They offered 2 profiles on day 0, I was asked to choose one)
valid,Tell me a time when you  successfully worked under pressure. (I told them remaining calm in stressful situations was my greatest strength)
invalid,Why citi ? Very basic and few 1st term finance questions
invalid,For some students the interview was completely on the sector they followed.One question on my PoR
invalid,Some general questions like About yourself
valid,Define leadership
valid,What was your latest achievement as a leader
invalid,Why banking
valid,Justify your aptness for the role?
invalid,how will you contribute
invalid,Some questions on the banking industry-  How will the deregulation of interest rates on savings by RBI impact the banking industry
invalid,Asked me- if you are interested in marketing, why do you want to explore an option with the bank, rather than an FMCG
invalid,Some CV based questions- Some questions on PORs.Stress on Social Responsibility.Graduate Internship based questions- what was the project?
invalid,how did you contribute?
invalid,what was the impact
invalid,Guestimation- Assume 7 banks are hiring in top 10 b-schools. How many do you think would be hired in all by the banks, across campuses
valid,They started off tell me about yourself
valid,Tell about a situation where you exhibited your leadership skills
invalid,They asked me some domain specific questions like- What do you think you would be doing as a retail banker?-I said something relating customers and selling
invalid,They asked me something related to promotion-If you are doing promotion in a mall, what all will you do and how will you proceed?- I said that I will make a contract for placing huge banners and standees. Also coupons can be distributed along with tickets, etc.
invalid,What operational issues will you face or need to check after placing the banners?
invalid,Bi-directional Sync b/w mysql and sqilte db
invalid,Given a number , check if it can be represented in 5^n form , where n is positive integer
invalid,Given a string of words with lots of spaces between the words , remove all the unnecessary spaces like.  input:  I   live   on     earth    output: I live on earth
invalid,How would you split a search query across multiple machines?
invalid,You need to develop the game Snake. What data structures will you use? Code your solution
invalid,asked for my introduction
invalid,about my family
invalid,asked me about the technology I like and where do I rank myself in programming among my batch mates and where do I rank myself in academics among my batch mates
invalid,asked me how many rejections I faced till now
invalid,What do I dream of and what all I know about company
invalid,Am I placed somewhere else
invalid,what you will do of multiple offers
invalid,About my projects. Simple Questions
invalid,How a program compiler and run. He wanted answer from scratch
invalid,C++ Questions for what is cout, Object orientation
invalid,Design a ladder and Snake Problem with TWO Player and Code it. I did not have played earlier.
valid,Code for Directory Structure
invalid,Discussion on Projects. A person can have 1 step, 2 step, or 3 steps. How much combination he can have to climb on a ladder of n and code
invalid,Min, push, pop in Stack
valid,C++ Question. VIRTUAL CONSTRUCTOR, virtual destructor significance. Design Pattern related Questions
valid,Write code for inverted index for MapReduce. Mapper and Reducer Functions
invalid,Page-Rank Algorithm, a lot of discussion, asked me to code it.
invalid,mathematical terms
invalid,Basic Projects intro
invalid,In array only 1 element is unique rest are 2 times. How to find that? He further extend if one unique and rest are multiple of 3
valid,Design rate Maze Problem
invalid,Loop in a list and how to find out
invalid,why are you increasing fast pointer by 2 only
valid,Random Pointer in Linked list. Clone it
invalid,A lot of questions about my college. So please be prepare for that too.
invalid,He showed me my resume and pointed out grammatical mistakes. Project Questions. He asked me every question with deep. What everything mean to regarding project knowledge
invalid,Asked my computer science topic which i proud of. By Mistake i said MAPREDUCE.
invalid,questions from OS,DBMS,DS,OOPS
invalid,related to cloud since SAP is working on cloud these days, cloud security, memory distribution in case of parallel computing
invalid,some coding questions
invalid,some basic oops concepts
invalid,Puzzle was given a rectangular cake,one smaller rectangle cake has been cut,Now if allowed to make only one cut, how will you do so to cut the cake exactly into two equal halves
invalid,how to make your own garbage collector in java
invalid,PUZZLE
invalid,Modified version of HAT puzzle
valid,Print the tree in zig-zag traversal
invalid,N process can write at time in buffer and n process can read through buffer.Design a system for read and write
invalid,words are coming through a stream , u have to halt the problem when first repeated words appear. Used trie data structure
valid,You have given n point in a coordinate system.What you have to do is to find minimum k distance point from origin
invalid,U have given large stream of m size and you have size of n window . you have to find the k minimum in each window . we are shifting the window by one at every iteration
invalid,N words are given.u have one source word and one destination word .u have reach to destination in minimum edit with the constraint that intermediate word should be from the words given.i have given the solution using graph and used BFS traversal .complexity discussion
invalid,what happen when u hit url
valid,Explain yourself
invalid,A backtrack problem on sudoku
valid,write full code on paper in any language. write failure case of your code
invalid,Discussion on projects
valid,Your strength and weakness and extra curricular interests,
valid,tell me about yourself
invalid,why Miscrosoft
valid,tell any 4 of your favorite product of Miscrosoft
invalid,tell 2 good and 2 bad points of Microsoft
invalid,Why you opt for your college
invalid,Why computer science
valid,Tell any 1 social problem that bothers you the most
invalid,Suggest 3 solution to above problem as a technical guy
invalid,what is big data
valid,what will you do if your colleague is not working
valid,what if you are not agreed with your senior
valid,Detailed discussion about previous company work?
valid,Why I want to leave my previous employer?
invalid,Why Amazon?
invalid,What if I don\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t like the work?
invalid,What are challenges I have faced in my work, how I resolved it?
valid,Weakness and strength?
invalid,What does router do, what is static routing?
invalid,Given a routing table, how would you decrease the time taken by router to decide to which router packet must be forwarded?
invalid,Details of algorithm that could be implemented and discussion time and space complexities
invalid,Check for a complete cycle in a graph. ( A complete cycle is one that covers all nodes )
invalid,Construct a tree using Preorder and Inorder Traversal
valid,Evaluate a random function.Since this round was with a hiring manager he asked a few questions like why do you want to leave your organization? Why so early? Plans for further studies and basic discussion of projects
invalid,Half an hour discussion on my projects
invalid,question on strings
valid,Write a program to output the minimum size window which contains all the given characters with at-least the given frequency
invalid,Given a Node in a tree and a value k , print all nodes at K distances from the given node
invalid,Given a string and k, arrange the string so that all the same characters are K distance apart. If not possible print -1
invalid,A sorted array is rotated K times. Sort it in o(n) traversal without extra space
invalid,Median of a stream of array
invalid,Pirates and gold puzzle
invalid,Why manhole is round ?
valid,two pair with a given sum in a bst with o(log n) space
invalid,K random numbers from infinite stream of array with equal probability
invalid,question from projects
invalid,I was asked to explain my favorite project
invalid,He asked if I know compilers \xc3\xa2\xe2\x82\xac\xe2\x80\x9c and asked basic question on lex and yacc
invalid,Question from operation systems:
valid,Inter-process Communications
valid,Threads
invalid,Critical sections
invalid,Semaphores, Mutex
valid,Reader-Writer problem
valid,DeadLockAsked to write code to insert a node in its correct location, given a sorted linked list.Asked to find least common ancestor given two nodes and the root; given a BST
invalid,Given scene has some X no: of chairs and Y no: of persons in a room.  If each person sit on one chair, exactly one person is left with a chair.  If two people sit on one chair, the we have one empty chair Find X and Y
valid,Tell me something about yourself
invalid,What all programming languages you know?
valid,Why do you choose to join our company ?
valid,How long will you work in our company ?
invalid,What are the latest developments in the industry ?
valid,Strengths and weakness ?
invalid,What is cutting edge technology emerging in IT industry ?
valid,What parameter do you look to take up the job; if you had offer from two company for the same profile?
invalid,Did you attend Pre-placement talk?
invalid,What is one thing you liked about the pre-placement talk?
invalid,A brief intro of yourself and discussion on my projects
invalid,Then he asked me about my favorite subject and language (DS and C++)
invalid,Questions on OOPS (almost all the concepts were covered like polymorphism, overriding, overloading, inheritance, concept of virtual fxns etc.)
valid,He wrote a C++ code and asked me to write the output
invalid,Some questions on DS and then he asked me to write algo for reversing a linked list
invalid,Then he asked me to explain one of the questions that I had attempted in the coding round. (They just want to make sure that you know the logic)
invalid,Topics in DS that I am comfortable with and the ones with which I am not
invalid,Questions from bit-wise operators
invalid,to explain other one of the two questions I had attempted in coding round
invalid,A quick intro
invalid,Discussion on my projects
valid,What you know about their company apart from ppt.
valid,Questions on strengths, weakness and hobbies.
invalid,Given a sorted array, being rotated; Find an element in it
valid,Given a sorted array, being rotated; Give me sorted array
invalid,Given a stream of integers, give me median at any time
invalid,My info & work
invalid,What are my favorite tasks & contribution?
invalid,What are technical challenges that you solved?
valid,Where do you want to work & what interests you?
invalid,Why myntra?
invalid,My info
valid,Give me a flow of your work & company
valid,Whats your contribution?
valid,Tell me something, you haven\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t highlighted in the previous interviews
valid,How you keep yourself information-aware?
invalid,What you do in free time & whats your initiatives in technology?
invalid,Discussion of mobile technology
invalid,Why myntra?
valid,Whats your choice of work?
invalid,my introduction
invalid,family background
valid,do you have any problem in relocation?
invalid,how do you take personal conflicts?
valid,strengths and weaknesses
invalid,my introduction
invalid,about my family background
valid,areas/fields that interest me
invalid,tested my knowledge about big data and analytics
invalid,Hadoop Technology
invalid,asked me to explain my projects
invalid,questions regarding data structures\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 modifications and algorithms used or that can be used to modify the project as per their requirements
valid,to write a code for the data structures
invalid,puzzle
valid,Project Detail & past experience
invalid,Current Technology i am working in
invalid,http://www.geeksforgeeks.org/intersection-of-two-sorted-linked-lists/
invalid,Maximum Subsequent distinct & contiguous sub array in a character array
invalid,you are given a web page into that simply one browse button and Image Holder is their.Write the Test Cases for this
invalid,You are given application like Google Analytics. How will you test this application ?
invalid,what are the basic features you will add into your own test framework
invalid,http://www.geeksforgeeks.org/level-order-tree-traversal/
invalid,http://www.geeksforgeeks.org/reverse-level-order-traversal/
invalid,Make a stack using 2 given queue
invalid,Some Project Experience & Automation Framework Discussion,which i have worked on
valid,There was some situational questions also for Team work
invalid,about DNS Server,Router etc
invalid,how will you check that each page of amazon.com is having its logo or not.he also asked me to write code for this also
valid,Have you worked on any automation framework or not?
invalid,what happen between, when you enter a URL into a browser address bar and hit enter to actually page gets loaded ?
invalid,What happens when we type amazon.com ?
invalid,Describe transaction process in detail if we want to transfer from one account to other. Also design scheme for it
invalid,What happens on server side on receiving HTTP requests and how operating system interacts and then discussion related with threading, thread pool ,synchronization, hashing etc
invalid,Describe ACID properties in detail
invalid,How to find kth- smallest element in BST? http://www.geeksforgeeks.org/find-k-th-smallest-element-in-bst-order-statistics-in-bst/
invalid,Given \xc3\xa2\xe2\x82\xac\xcb\x9cm\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 and \xc3\xa2\xe2\x82\xac\xcb\x9cn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 (m < n), print all nodes between levels \xc3\xa2\xe2\x82\xac\xcb\x9cm\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 and \xc3\xa2\xe2\x82\xac\xcb\x9cn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 in level order
valid,Print a matrix in spiral order
invalid,Check if two trees are mirror images of each other
invalid,Given inorder and preorder traversals, build a binary search tree
invalid,Print all the boundary nodes of a given binary tree
valid,Cultural info and projects discussion. What errors have you performed in your career path? What are the major challenges that you faced?
invalid,Design a parking lot system. She was very much concerned with all the edge cases
invalid,How would detect whether a singly linked list is a palindrome or not?I gave a solution with O(n) time and space complexity. But she asked to optimize it further with O(1) space complexity
valid,1. What was your role in project?
valid,2. What technologies you used in your project and why?
valid,3. Define the functionality of your project?
valid,4. Define SDLC?
invalid,5. Define waterfall model? its advantages and disadvantages?
invalid,6. What is html 5?
invalid,7. What is javascript?
invalid,8. Name a server side scripting language?
valid,9. Define os kernel?
invalid,10. Name graph traversal methods?
invalid,HR INTERVIEW
invalid,Given a singly linked list, write a recursive method to reverse every 3 nodes in the list. He asked me to inform if I have seen the question
invalid,Long discussion on my internship and about the projects I have worked on
valid,Tell about your criticism
invalid,3 weaknesses currently i am working
invalid,Given an array and a number, check whether there are any 3 elements in the array which add up to the given number
invalid,Given a number, find the nearest perfect square(modified binary search)
valid,Write a method to check whether two binary trees are mirrors of each other http://www.geeksforgeeks.org/foldable-binary-trees/
valid,Write a method to print the boundaries of a binary tree http://www.geeksforgeeks.org/boundary-traversal-of-binary-tree/
invalid,Fill an array with the next greater elements (using stack) http://www.geeksforgeeks.org/next-greater-element/
invalid,Given a binary tree, count the number of occurrences where there are two nodes with the same horizontal distance. To make it clearer, if we assume each node in a cell of a matrix, then count the number of occurrences when there is a collision of two nodes in the same cell. Here the count is 1 because 5 and 6 occupy the same cell in the matrix
valid,Given a linked list, write a program to check if it is a palindrome
valid,Write some test methods for stress testing of Furniture class
invalid,Some discussion on automation testing
valid,Discussion about my current job role
valid,Several behavioral and team fit questions
invalid,What are the things you will consider (both from Developer\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s perspective and User perspective) while trying to develop an application for computer aided competitive examinations like CAT, GMAT etc
valid,Given a singly linked list, write a recursive method to reverse every 3 nodes in the list. I did not write a clean code for this. He moved on because of lack of time
invalid,Again discussion of my current job role and about the projects I have worked on
valid,Tell me 3 things that you want to learn/change in yourself
valid,Again several team fit questions
invalid,Why Oracle?
invalid,about the projects that I have done and about the things in my resume
invalid,to explain algorithm of the project that I\xc3\xa2\xe2\x82\xac\xe2\x84\xa2m going to do in the upcoming semester and asked me code it
invalid,what my favorite subject was.
valid,Implement queue using linked lists
valid,Reverse a string
invalid,Find the number of palindromes in a big string
invalid,Engine is of length 12m. A and B are 2 bogies of 10m length each. Engine can turn only in obtuse angles but not in acute angle. For example Engine can turn as FEH but not as FEA. Now, the task is that I have to exchange the positions of A and B with the help of Engine and the engine should remain at the same place. I tried for 15 minutes but couldn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t solve this problem
valid,Explain interfaces in Java
invalid,What is overloading and what is overriding. Explain each with example
invalid,What are abstract classes in Java and what is the difference between an abstract class and an interface
invalid,Find the fifth largest element in a linked list
invalid,Find the common ancestor of two given nodes in a tree
valid,Explain heap sort
invalid,Find the duplicates in an array
valid,An array of elements were given. You have to insert them into BST, Max Heap, B Tree
valid,Merge two sorted linked lists
valid,Explain three normalizations with example
invalid,Find the maximum salary in emp table
invalid,Find the name and department of the employee with highest salary
invalid,Difference between semaphore and mutex
invalid,There are 25 horses and only 5 horses can be raced at a time and the top 3 are announced in each such race. What is the minimum number of races required to find the top 3 among 25 horses
invalid,How is undo operation (ctrl + z) implemented internally?
valid,Explain 8 queens algorithm
invalid,What is time complexity of 8 queens algorithm
valid,Write code for Towers of Hanoi problem
invalid,What are ER diagrams for?
invalid,Draw ER diagram for leave application of an employee in a departmentI am not that good at DBMS
valid,Tell me about yourself
valid,Explain your project
invalid,What is your favorite program and why is it so
invalid,Space and time complexity to \xc3\xa2\xe2\x82\xac\xc5\x93Detecting a Loop in a Singly Linked List \xc3\xa2\xe2\x82\xac\xc2\x9d
invalid,Executable Code to Detect a Loop in a Singly Linked List without any mistake in first time with all boundry cases if any
invalid,As I\xc3\xa2\xe2\x82\xac\xe2\x84\xa2ve implemented Floyd\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s cycle finding algorithm he asked me to drive a mathematical expresson in terms of variable why this algorithm works
invalid,what is microprocessor ?
invalid,what is microcontroller ?
invalid,what is the difference between microprocessor and microcontroler ? give an example for each and what is intel i7 ?
invalid,difference between functional and oo approach of problem solving . why oops is best
invalid,The Three Door Puzzle
valid,Program to convert a given number into words
valid,Asked to write code for level order traversal in binary tree
invalid,Write code to get maximum and second maximum element of a stack. The given function should be in O(1) complexity
valid,Given a biotonic array ( first numbers increase and then decrease ) write code to search a given number. Time complexity O(logn)
invalid,Find the second largest element in an array. (http://www.geeksforgeeks.org/to-find-smallest-and-second-smallest-element-in-an-array/)
invalid,Given a sorted array which can have repeated elements, find the occurrence of an element. (Most optimal solution is O(logn) \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Using binary search to find start and end occurrence)
invalid,Make a data structure and implement an algorithm to print all the files in a directory. (the root directory can have sub-directories too.) I used an n-ary tree and BFS to print files. It can also be done using Stack
invalid,He asked some question about my CV
valid,Print a matrix diagonally. (http://www.geeksforgeeks.org/print-matrix-diagonally/)
valid,DFS of binary tree, n-ary tree
invalid,Then he asked some question from other subjects. OS \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Scheduling   DBMS \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Normalization, Transaction  OOPS \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Abstraction
valid,About yourself
invalid,They will ask Questions from your CV
valid,About your project
valid,About company
valid,Your skill/Strength/Weakness/Hobbies/your goal/achievement
valid,Introduce Yourself
valid,Favourite Subject
invalid,Training related questions
invalid,1)Given some numbers like 20,10,5,7,30. Make AVL tree and BST of this. The example involved rotations also
invalid,2)Lowest common ancestor of a BST
valid,3)Reversing a singly linked list and double linked list
invalid,4)C output  #include  void crazy(int a,int b, int m, int n)  {  if(n==0)  return;  crazy(a+m,b,m+b,n-1);  printf(
invalid,5)C outputs on pointer like  a) int arr[10][20][30] ,base address of a was given , then value of *(*arr+1)+2  b) extern int *a; //File 1  int a[10] //File 2  What happens when both files are compiled
invalid,6) GCD of two numbers. They wanted Euclid Algorithm
valid,7) Maximum of three numbers using ternary operator
invalid,8) A C output on expansion of Macro. That expansion was to be done very carefully ,otherwise you may get wrong answer
valid,9)Middle of linked list in one traversal
invalid,10) evaluation of a prefix expression
invalid,11)Question based on hashing. A hash function was given and some numbers were given we have to hash those numbers according to hash function
invalid,12)Assembly language output
invalid,13)Pointers to functions
invalid,14)int fun(int &x) and we call this function with  a)fun(a) a was int  b)fun(a) a was long long int  c)fun(a) a was char  In which cases we will get error ?
invalid,15) Calling a destructor by object of class . Suppose you have some class X. You create object of that class X a; then call a.~X(); how many times destructor will be called
valid,16) C++ outputs on virtual functions (About 3 to 5 were asked). Those questions involved virtual pointer table, virtual destructors , size of class in case of virtual functions etc
valid,17) After that interviewer started asking Java outputs. \xc3\xa2\xe2\x82\xac\xc5\x93super.super.super\xc3\xa2\xe2\x82\xac\xc2\x9d is allowed in java or not . Then he asked me about interfaces and abstract class
invalid,18) Then some general questions. What is a cross compiler? What is Unicode ? Why it was needed? UTF-8, UTF-16 , ASCII ? Difference between them
invalid,19) Loop in a linked list. He asked me whether I have done this question or not. I replied yes. So he asked me to make a working code of the question
invalid,20) Full booting procedure
invalid,21) Questions on virtual memory. Why it was needed?
invalid,22) Longest common substring between two strings. Two solutions by dynamic programming and by trie were given by me
invalid,23) Then some outputs on C pointers. That involved function pointers, and single and double pointer
invalid,24) Some general questions again. Why I want to join Adobe? Whether I will pursue higher studies while working in Adobe?
invalid,25) Merge two sorted linked list without using extra memory
invalid,26) There are m machines. each machine generates coins of 10 g.only one machine is defective which generates coins of 9 g.how to find that defective machine in one weighing only. Now there are two defective machines. how do you find them in one weighing. The problem was finally converted to k defective machines,
valid,27) Producer Consumer semaphore code using semwait and semsignal
valid,28) Questions on OS about semaphore and deadlock
invalid,29) Allocate two dimensional matrix using new
valid,30)Write a c program to select a contiguous subarray of size m from an array such that its sum is closest to zero
valid,31)Second largest element in a given array
valid,32) Implement queue using two stacks
invalid,33) You are given two hour glasses(those glasses are filled with sand). One hour glass gets emptied by 4 minutes another by 7 minutes. Find how will you calculate 9 minutes. Same puzzle was asked to me in GoldMan Sach. All the companies they repeat even the puzzles also :P
invalid,34) A question on dynamic programming
invalid,35)Size of structure. Small c outputs on union , enums etc
invalid,1 Given a n-ary tree. Devise an algo which determines the position at which the 3rd B is present from the given index in constant time complexity.  Try it for binary tree.  What is hashing. What is constant time complexity?  Which are the data structures which have constant time complexity. HINT - they both use indexes?  The preprocessor method will use what data structures to ensure the getA() or getB() function will determine the 3rd B's position in constant time complexity
valid,2. Given a dictionary with limited words. Check if the string given to you is a composite of two words which are already present in the dictionary
invalid,3. Given a single linked list of certain nodes. Switch adjacent nodes. Eg. 1 2 3 4 will be 2 1 4 3
invalid,4. What is the function of the 'finally' block in Java ? Under what conditions does the finally block not get executed, if this is possible?
invalid,5. Display all the nodes at the same level in a tree
invalid,6. Given a binary search tree. Traverse only the left sub-tree
valid,7. Is {a, n, d} a palindrome ? If you are given a random string, is it a palindrome or not ?
invalid,8. Implementation of AVL tree
invalid,Finding all possible UNIQUE substrings of and array of char. And displaying it in sorted order
invalid,It was on tree was easy. I don\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t remember the exact question
invalid,Two tables emp(empid,name,deptid,sal) and dept(deptid,deptname) are there.write a query which displays empname,corresponding deptname also display those employee names who donot belong to any dept.
invalid,Display the employees whose salary is less than average salary
invalid,what is the output of the program main(){int c=5;printf("%d %d %d",c,c<<2,c>> 2);}
invalid,main(){int a[8][10],c=0,i,j; for(i=0;i<10;i++) for(j=0;j<8;j++) a[j][i]=c++;printf("%d",a[3][6]);}
invalid,What is the wrong in this programmain(){char *p,*q;p=(char *)malloc(25);q=(char*) malloc(25);strcpy(p,"amazon" );strcpy(q,"hyd");strcat(p,q);printf("%s",p);}
valid,write prefix and post fix notation for (a+b)*c-(d+e)^(f-g)
invalid,what is the output of the programmain(){int i=5;printf("%d",fun(fun(fun(fun( fun(i))))));}void fun(int i){ if(i%2) return (i+(7*4)-(5/2)+(2*2));else return (i+(17/5)-(34/15)+(5/2));}
invalid,When it is always true boolean fun (node *p){return ((p==null)||(p->next==null)|| (p->info<=p->next->info)&&( fun(p->next)));} a)when list is empty or has one nodeb)when the ele are sorted in non decreasing orderc)when the ele are sorted in non increasing order
invalid,what is x here (x&&!(x&(x-1))==1)a)x is always a primeb)x is a power of 2c)x is even d)x is odd
invalid,what is the difference between deep copy and shallow copy
invalid,In java what is the difference between sleep() and wait()
invalid,What happens when the parent process of a child process exits before the child ?
invalid,There are three persons A,B,C .A shots the target 6 times out of 7 shots .B shots 4 out of 5 shots .Then what is the probability of hitting the target twice when 2 persons are selected at random.
invalid,what is valid in cpp char *cp; const char *cpp; 1) cpp=cp; 2) cp=cpp;
invalid,write program to swap 2 variables without using extra memory
invalid,write a shell command to find all java files present in nested directories.
invalid,There are 6 pairs of black socks and 6 pairs of white socks. What is the probability to pick a pair of black or white socks when 2 socks are selected randomly in darkness
invalid,A string of alphanumeric is there. Find a string that starts with b and ends with 3 characters. section B (we have to write programs) time:30 min
invalid,1.There is a sorted array which is of very large size.In that all except one no. are repeated once.How to find that non repeated no.  2.There are 2 linked lists.Those 2 lists are meeting at a point. How to find that meeting point.
invalid,How do you convert a decimal number to its hexadecimal equivalent.Give a C code to do the same
valid,Explain polymorphism citing an example
invalid,What are the 4 basics of OOP?
invalid,Define Data Abstraction. What is its importance?
invalid,Given an array all of whose elements are positive numbers, find the maximum sum of a subsequence with the constraint that no 2 numbers in the sequence should be adjacent in the array.Eg.i) 3 2 7 10 should return 13 (sum of 3 and 10)ii) 3 2 5 10 7 should return 15 (sum of 3, 5 and 7)
valid,Given a Binary Search Tree, write a program to print the kth smallest element without using any static/global variable. You can\xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x80\x9e\xc2\xa2t pass the value k to any function also
